ts	phase	decision	why	evidence	result
2026-09-20T12:32:30Z	frame	Resume all 48 Plan126 groups with archive changes preserved	User authorized finishing the whole plan; verification must distinguish local tests from live provider and host proof	plans/126-t3code-alignment.md	open
2026-09-20T12:55:36Z	wave1	Require explicit restore choice and provider/isolation preflight; correlate completion before restoring captured draft	Shared checkout bytes were overwritten before provider rejection; command acceptance was not completion	checkpoint-reactor red/green; 35 server tests; 25 web tests; native permission six cases; release 20260920T125500Z-02885149-plan126-rewind-permissions	Deployed; live rewind scenario pending
2026-09-20T12:55:36Z	evidence	Keep all groups unverified; correct MCP unknown-schema claim	Source review is not runtime comparison and upstream accepts unknown forms without content	scripts/parity/check.py; pinned CodexSessionRuntime.ts:430-475	12 checker tests pass; runtime.md corrected
2026-09-20T13:22:29Z	wave1	Prepare native target before file restore; use installed paginated thread/revert API	Live Codex rejected obsolete rollback; failed boundary lookup must not mutate Git	codex native pagination test; 16 checkpoint tests; server typecheck	18 focused tests pass; next deploy pending concurrent-rewind guard
2026-09-20T13:32:51Z	wave1	Deploy bounded delivery, prepared native rewind and admission guard, MCP approval and unread	Each completed unit has focused behavioral proof; live checks can now drive installed provider protocol	release 20260920T132650Z-b915d3e0-plan126-live-delivery; MCP 132758; unread 132724	MCP and unread live passed; rewind native passed but mounted composer exposed missing store synchronization
2026-09-20T13:36:18Z	wave1	Synchronize externally restored drafts into the mounted Lexical composer	Live rewind completed natively but the input retained its old editor state	draft-plugin real Lexical regression; release133225; /work/tmp/fregat-evidence/20260920T133321Z-scenario-checkpoint-rewind	Native history rewind and merged prompt visible; screenshot inspected; no server warning/error
2026-09-20T14:05:00Z	wave2	Ship lifecycle shelves, grouping, search and async questions	Server and pure policy proof complete; browser caught disabled drag attributes leaking into navigation	Server135727/web135934; lifecycle140116, async140014, MCP135957, search140044 evidence; 75 server active-order/migration tests then24 model/streaming passed	Lifecycle/search/async local proof passes; whole-group upstream parity and two-owner live remain open
2026-09-20T14:20:31Z	wave2	Separate background liveness from parent runtime status; schedule bounded periodic cleanup	Quiet child agents and monitors must not be reclaimed after parent completion	720 upstream pure comparisons; reaper concurrency tests; real mock-adapter periodic timer; Claude task-boundary tests;25 rail model/streaming cases	Source ready for native child browser proof; automatic settlement still pending
2026-09-20T14:45:23Z	wave2	Scope native message identities by session and canonical turn	Native item IDs reused across conversations collided with globally keyed message rows	25 ingestion tests; release143358; reused-ID async live143439+143458; ordering live144130	Reply collision fixed and live verified; pointer collision corrected; title and attachment work continues
2026-09-20T15:02:18Z	wave2	Implement versioned title generation with explicit ownership and recovery	Late generated results must not replace manual or newer titles; bounded shell history must not erase original context	7 real-engine provider tests;6 normalization;14 context/citation incl144pinned comparisons;19migration;19UI/menu/streaming; typechecks pass	Source complete for bounded title lifecycle; live proof awaits shared file batch; linked lookup and policy overrides remain open
